Nama,Alamat,Latitude,Longitude
Astra Motor Klaten,Jl. Pemuda utara No. 83 Klaten,-7.700041,110.605078
Astra Motor Magelang (kedungsari),Jl. Jendral Sudirman 295,-7.487222,110.221389
Astra Motor Weleri,Jl. Raya Utama Timur 154 Weleri,-6.970658,110.076209
Astra Motor Cilacap,Jl. Gatot Subroto 104 C Cilacap,-7.711944,109.017222
Dealer Langgan Motor Tegal,Jl. AR. Hakim No. 11,-6.871282,109.136517
Tunggul Sakti Pemalang,Jl. Jend. Sudirman 77,-6.892369,109.401547
Dealer Honda Nusantara Sakti Purwokerto,Jl. Jend. Sudirman No.338,-7.425556,109.2325
Dealer & Bengkel Honda Cilacap | Sanjaya Motor Cilacap,JL. PERINTIS KEMERDEKAAN NO. 95,-7.69,109.03694
Astra Motor Majapahit Semarang,Jl. Majapahit No. 181 Semarang,-7.003459,110.450752
Astra Motor Blora 1,Jl. MR. Iskandar 47 Blora,-6.975562,111.411754
Astra Motor Palur,Jl. Raya Palur Km. 4,-7.335963,110.514832
Astra Motor Solo,Jl. Raya Solo Baru,-7.610192,110.814815
Astra Motor Sragen,Jl. Raya Sukowati 606/146 Sragen,-7.42908,111.01289
05783 Dealer & Ahass Honda Teguh Motor Gombong,JL. YOS SUDARSO NO.401,-7.60806,109.50611
Dealer Honda Nusantara Sakti Demak,Jl. Raya Kudus no. 178,-6.887238,110.651257
Muncul Jaya Motor Mayong Jepara,Dukuh Krajan RT 3/2,-6.751158,110.761296
Cendana Mulia Temanggung,Jl. Gatot Subroto No. 7,-7.315278,110.17
Astra Motor Center Pati,Jl. Pemuda No. 218,-6.741784,111.025538
Astra Motor Purbalingga,Jl. A. Yani 63 A,-7.390556,109.355
Astra Motor Purwokerto,Jl. Ruko Yos Sudarso blk C-D No.211,-7.420556,109.201111
Astra Motor Jepara,Jl. Diponegoro,-6.591797,110.666933
Cahaya Sakti Motor Karanganyar,"Jl. Lawu 460, Karanganyar",-7.592221,110.937171
Jaya Motor Pecangaan,Jl. Raya Pecangaan no. 45,-6.689382,110.707293
