Nama,Alamat,Wilayah,Latitude,Longitude
PT Armada Tunasjaya Temanggung,Jl. Tentara Pelajar Blok A dan B,"Temanggung I, Kabupaten Temanggung",-7.314722,110.178889
Cahaya Sakti Chandra Motor Solo,Jl. Yos Sudarso 280,"Kratonan, Kota Surakarta",-7.581518,110.820578
Honda Central Sakti Motor Kratonan Solo,Jl. Yos Sudarso 215,"Gajahan, Kota Surakarta",-7.577968,110.821404
Kompo Motor Banjarnegara,Jl. Letjend Suprapto No.125,"Kuta Banjarnegara, Kabupaten Banjarnegara",-7.399722,109.683333
Dealer & Bengkel Honda Purwokerto | Sanjaya Motor Purwokerto,JL. JEND. SUDIRMAN 830 PURWOKERTO,Kabupaten Banyumas,-7.4275,109.25083
Abadi Motor,Jl. Pemuda 48,"Mlangsen, Kabupaten Blora",-6.97084,111.420984
Dealer Dan Ahass Surya Utama Perkasa Tegal,JL. A. YANI NO. 99 RT.01 RW.06,"Grobog Kulon, Kabupaten Tegal",-6.96159,109.13857
Super Honda Semarang,JL. MAJAPAHIT NO.299,"Gemah, Kabupaten Pati",-7.0073,110.4585
Kurnia Kasih Dealer Motor Honda Wonogiri,Jl. A Yani no. 188,"Giripurwo, Kabupaten Wonogiri",-7.812887,110.923978
Kurnia Kasih Motor Dealer Motor Honda Solo,Jl. Slamet Riyadi 490-492,"Purwosari, Kota Surakarta",-7.562433,110.7969
Honda Naga Mas Motor Tegal,Jl. A.R. Hakim 46,"Randugunting, Kota Tegal",-6.873443,109.13611
Super Honda Brebes,JL. GAJAH MADA 125 C,"Limbangan Wetan, Kabupaten Brebes",-6.87597,109.06103
Honda Nusantara Jaya Wangon,Jl. Raya Wangon Timur 18 Wangon,"Klapagading Kulon, Kabupaten Banyumas",-7.5175,109.06
Kompo Motor Wonosobo,Jl. S Parman No.63,"Wonosobo Barat, Kabupaten Wonosobo",-7.365278,109.901667
Pandean Baru Motor Purworejo,Jl. K.H.A.Dahlan No. 54,"PURWOREJO, Kabupaten Purworejo",-7.709444,110.015833
Cendana Megah Santosa Purwodadi,Jl. R. Suprapto 101,"Baringin, Kabupaten Grobogan",-7.092245,110.913643
Muncul Jaya Motor Pemuda Jepara,"Jl. Pemuda 8 RT 3/7, Kel. Panggang Kec. Jepara","Panggang, Kabupaten Jepara",-6.595415,110.667132
Dealer Honda Nusantara Sakti Purworejo,Jl. A. Yani 297,"PURWOREJO, Kabupaten Purworejo",-7.705833,110.02
Dealer Honda Nusantara Sakti Kebumen,Jl. Pahlawan No.120 A,"Kebumen, Kabupaten Kebumen",-7.67,109.656111
Kompo Motor Kroya,Jl. Jend A Yani - Kroya No. 166,"Kroya, Kabupaten Cilacap",-7.6275,109.249444
Cendana Wangi Batang,Jl. Jend. Sudirman no 78,"Kauman, Kabupaten Batang",-6.906671,109.720569
Astra Motor Tegal1,Jl. A. Yani No. 19 Tegal,"Mintaragen, Kabupaten Tegal",-6.875789,109.136074
Gaya Baru Motor Blora,Jl. Gunung Lawu 1,"Tempelan, Kabupaten Blora",-6.969286,111.417854
54 Motor Batang,Jl. Urip Sumoharjo No.39 Sambong,"Sambong, Kabupaten Batang",-6.911818,109.741226
Astra Motor Klaten,Jl. Pemuda utara No. 83 Klaten,"Bareng, Kabupaten Klaten",-7.700041,110.605078
Astra Motor Magelang (kedungsari),Jl. Jendral Sudirman 295,"Rejowinangun Selatan, Kota Magelang",-7.487222,110.221389
Astra Motor Weleri,Jl. Raya Utama Timur 154 Weleri,"Sukaresmi, Kabupaten Kendal",-6.970658,110.076209
Astra Motor Cilacap,Jl. Gatot Subroto 104 C Cilacap,"Sidanegara, Kabupaten Cilacap",-7.711944,109.017222
Dealer Langgan Motor Tegal,Jl. AR. Hakim No. 11,"Mangkukusuman, Kota Tegal",-6.871282,109.136517
Tunggul Sakti Pemalang,Jl. Jend. Sudirman 77,"Wanarejan Selatan, Kabupaten Pemalang",-6.892369,109.401547
Dealer Honda Nusantara Sakti Purwokerto,Jl. Jend. Sudirman No.338,"Ciledug Kulon, Kabupaten Banyumas",-7.425556,109.2325
Dealer & Bengkel Honda Cilacap | Sanjaya Motor Cilacap,JL. PERINTIS KEMERDEKAAN NO. 95,"Kebonmanis, Kabupaten Cilacap",-7.69,109.03694
Astra Motor Majapahit Semarang,Jl. Majapahit No. 181 Semarang,"Gayamsari, Kota Semarang",-7.003459,110.450752
Astra Motor Blora 1,Jl. MR. Iskandar 47 Blora,"Jetis, Kabupaten Blora",-6.975562,111.411754
Astra Motor Palur,Jl. Raya Palur Km. 4,"Ngringo, Kabupaten Karanganyar",-7.335963,110.514832
Astra Motor Solo,Jl. Raya Solo Baru,"Giripurwo, Kabupaten Sukoharjo",-7.610192,110.814815
Astra Motor Sragen,Jl. Raya Sukowati 606/146 Sragen,"Sragen Kulon, Kabupaten Sragen",-7.42908,111.01289
05783 Dealer & Ahass Honda Teguh Motor Gombong,JL. YOS SUDARSO NO.401,"Wero, Kabupaten Kebumen",-7.60806,109.50611
Dealer Honda Nusantara Sakti Demak,Jl. Raya Kudus no. 178,"Bintoro, Kabupaten Demak",-6.887238,110.651257
Muncul Jaya Motor Mayong Jepara,Dukuh Krajan RT 3/2,"Seputih Jaya, Kabupaten Jepara",-6.751158,110.761296
Cendana Mulia Temanggung,Jl. Gatot Subroto No. 7,"Kebonsari, Kabupaten Temanggung",-7.315278,110.17
Astra Motor Center Pati,Jl. Pemuda No. 218,"Pati Wetan, Kabupaten Pati",-6.741784,111.025538
Astra Motor Purbalingga,Jl. A. Yani 63 A,"Kandang Gampang, Kabupaten Purbalingga",-7.390556,109.355
Astra Motor Purwokerto,Jl. Ruko Yos Sudarso blk C-D No.211,Kabupaten Banyumas,-7.420556,109.201111
Astra Motor Jepara,Jl. Diponegoro,"Jobokuto, Kabupaten Jepara",-6.591797,110.666933
Cahaya Sakti Motor Karanganyar,"Jl. Lawu 460, Karanganyar","Cangakan, Kabupaten Karanganyar",-7.592221,110.937171
Jaya Motor Pecangaan,Jl. Raya Pecangaan no. 45,"Pecangaan Kulon, Kabupaten Jepara",-6.689382,110.707293
Super Honda Bumiayu,JL. DIPONEGORO 525 JTSAWIT BUMIAYU,"Alur Baung, Kabupaten Brebes",-7.26203,109.00974
Honda Central Sakti Motor Wonogiri,Jl. A. Yani no. 141,"Giripurwo, Kabupaten Wonogiri",-7.810302,110.924207
Honda Central Sakti Motor Nusukan,"Jl. K. Tendean no. 77, Nusukan","Nusukan, Kota Surakarta",-7.54797,110.820931
Sps Motor Ajibarang,"Jl. Pancasan F8-F9, Ajibarang Wetan","Ario Kemuning, Kabupaten Banyumas",-7.416111,109.078611
Surya Agung Motor Sokaraja,"Jl. Gatot Subroto, Ds Sokaraja Kdl","Pasar Kepahiang, Kabupaten Banyumas",-7.459167,109.298889
Nusantara Sakti Kartasura,Jl. Jend Sudirman 179,"Kartasura, Kabupaten Sukoharjo",-7.554344,110.747116
Honda Jaya Motor Kudus,Jl. Sunan Kudus 100,"Demangan, Kabupaten Kudus",-6.806567,110.83689
Muncul Jaya Motor Bangsri,"Jl. Raya Bangsri RT 5 / 10, Kel. Bangsri","Bangsri, Kabupaten Jepara",-6.522412,110.76392
Comal Abadi Motor,Jl. Jend Sudirman No.26,"Purwoharjo, Kabupaten Pemalang",-6.898441,109.532442
Cempaka Motor Godong,"JL. JEND. SUDIRMAN 152, DS GODONG","Kertosono, Kabupaten Grobogan",-7.02232,110.77266
Jaya Abadi. Cv,Jl. Pemuda 226 A Boja,"Simpang Perlang, Kabupaten Kendal",-7.10363,110.269256
Kurnia Kasih Motor Dealer Motor Honda Semarang,Jl. Perintis Kemerdekaan no. 178B,"Srondol Wetan, Kota Semarang",-7.064633,110.412065
Taruna Jaya Motor Solo,JL. VETERAN NO.180 KEC. SERENGAN,"Serengan, Kota Surakarta",-7.58082,110.81735
Honda Cendana Sukorejo,Jl. Raya Sukorejo-Weleri RT.5 RW 2,"Kebumen, Kabupaten Kendal",-7.084193,110.042305
Cahaya Sakti Motor Karangpandan,"Jl. Lawu 215, Karangpandan","Pasar Usang, Kabupaten Karanganyar",-7.615388,111.06036
Timbul Jaya Motor Boyolali,Jl. Raya Solo - Semarang,"Winong, Kabupaten Boyolali",-7.51736,110.593077
