Nama,Alamat,Wilayah,Latitude,Longitude
Makmur Guna Santoso,Jl. Brigjend Sudiarto No. 45,"Lodoyong, Kabupaten Semarang",-7.260833,110.406111
King Abadi Jaya,JL. DEPOK NO. 2,Kota Semarang,-6.97667,110.42056
Kranggan Aji Motor 2,JALAN SUNAN ABINAWA PESANTREN,"Penanggulan, Kabupaten Kendal",-6.96111,110.15222
Ud Tugu Sekawan,DS. CENDONO RT 02/RW 03,Kabupaten Kudus,-6.73889,110.86528
PT. Taruna Adiprima Motor,JL. KUDUS JEPARA NO. 510,"Prambatan Kidul, Kabupaten Kudus",-6.80167,110.82361
Inti Motor Ii,Jl. Urip Sumoharjo 91,"Potrobangsan, Kota Magelang",-7.484722,110.233611
Ums Motor,JL. GARUDA MAS KAMPUS 2,Kabupaten Sukoharjo,-7.55641,110.76972
Karya Agung,Jl. Slamet Riyadi 376A,"Kec. Makam Haji, Kartasura, Kabupaten Sukoharjo",-7.566111,110.773889
Jawa Motor,Jl. Indrakila 19,"BALEDONO, Kabupaten Purworejo",-7.664444,109.656944
Motor Cahaya Baru,JL.TENTARA PELAJAR NO.05 KEL.JOMBLANG,"Jomblang, Kota Semarang",-7.008611,110.432778
Cv Laretigo,JL. MERDEKA NO. 1,"Banjarharjo, Kabupaten Brebes",-6.99028,108.85222
Bagus Motor,Komplek Pertokoan Sempu Blok B No. 11 dan 12,"LIMPUNG, Kabupaten Batang",-7.0275,109.924444
Sinar Sakti Motor,Jl. Raya Bandungrejo Km. 10.9 DS. Bandungrejo,"Bandungrejo, Kabupaten Demak",-7.022778,110.504444
Karunia Motor,JL. JEND. SUDIRMAN NO. 145 RT.001 RW.007 SIDAREJA,"Sidareja, Kabupaten Cilacap",-7.485,108.79167
Ria Motor,Jl. S. Parman No. 61A prajuritan bawah,"Wonosobo Barat, Kabupaten Wonosobo",-7.363889,109.899722
Buana Sari Motor,JL. RAYA PEDAN-CAWAS KM.1,"Keden, Kabupaten Klaten",-7.697778,110.704722
Kurnia Agung Motor,Jl. Cemuh No. 13,"CEPIRING, Kabupaten Kendal",-6.925833,110.151944
Alfa Motor,JL.RAYA TIMUR NO.50 KALIWUNGU,"Kutoharjo, Kabupaten Kendal",-6.962778,110.258056
Sidodadi,JL. Siliwangi 26,Kota Semarang,-6.986667,110.362778
Cv Eka Jaya,Jl. A. Yani No. 72,Kabupaten Grobogan,-7.051389,110.658056
Waras Motor,Jl. Karanganyar,"Desa Tamangede, Gemuh, Kabupaten Kendal",-6.963889,110.148056
Agatha Motor,DK Danyung Rt 03 Rw03,"Kwarasan, Grogol, Sukoharjo, Kabupaten Sukoharjo",-7.596111,110.809444
Cv Laretigo,JL. JEND. SUDIRMAN 164 RT. 005/002,"Ketanggungan, Kabupaten Brebes",-6.9375,108.89056
Osh Motor,Jl. Jendral Suprapto 34 Sokaraja Rt. 01/04,"Sokaraja Wetan, Kabupaten Banyumas",-7.454722,109.304722
Indah Motor,Jl. Raya Bandar 24,Kabupaten Batang,-7.032778,109.798889
Maju Motor,JL. Raya Gembong Utara Kedungwuni,"Timur Rt.001 Rw.001, Kabupaten Pekalongan",-6.968333,109.646389
Resmi Motor,Jl. Syailendra Raya Borobudur,"Wringin Putih, Kabupaten Magelang",-7.606389,110.209722
Servis Honda Surat,"JL. Bendo- Bayat, wedi",Kabupaten Klaten,-7.733056,110.585278
Karyaguna,JL. TAMPINGAN BOJA KM. 1 NO. 1,Kabupaten Kendal,-7.10556,110.28139
Sappitu,Kauman Barat RT.01/RW.05,"Kec. Cawas, Kabupaten Klaten",-7.762222,110.696667
PT. Antaboga Intinusa P.,Jl.Pati-Kayen Km. 11,"Karaban, Kabupaten Pati",-6.8325,111.014167
Piramida Motor,KENDAL KIDUL RT. 33 RW. 14,"Bandungrejo, Kabupaten Demak",-7.7525,111.016389
Tawangsari Tentrem,"Ds. Kwaron, RT.01 RW.09","Ds.Kateguhan Kec.Tawangsari, Kabupaten Sukoharjo",-7.729444,110.798611
Padmanaba Ii,Perintis Kemerdekaan RT/RW 08/10,"Kec. Siswodipuran, Kabupaten Boyolali",-7.545556,110.605
Kantong Motor I,JL. RM. HADI SUBENO RT 01 RW 06,"Ngadirgo, Kota Semarang",-7.05056,110.31917
Fida Sejahtera,Jl. Raya Wolter Mongisidi No.6,Kota Semarang,-6.9575,110.484722
Mitra Buana,"Jl. Pedan - Karangdowo, Desa / Kel. Jetis Wetan","Jetis Wetan, Kabupaten Klaten",-7.698611,110.708056
Sriwijaya Motor,Jl. Sriwijaya 90,Kabupaten Aceh Selatan,-7.004722,110.428611
Cv Br Dua Lima Tujuh Lima,JL. DR. RAJIMAN 415 BARON,Kota Surakarta,-7.57139,110.80472
Priyangan Motor,Jl. Adisumarno No.68,Kabupaten Karanganyar,-7.539722,110.745556
Bengkel Joglo,"JL.RAYA SRAGEN-SOLO KM.4,DK.NGEPOS,JETAK","Jetak, Kabupaten Sragen",-7.426182,110.994605
Jatimas Motor,Jl. Karangjati Tarub Tegal,"Depok, Kabupaten Tegal",-6.945278,109.184444
Osh Motor,JL. JEND. A YANI 5C KANDANGGAMPANG PURBALINGGA,"Purbalingga Kulon, Kabupaten Purbalingga",-7.39444,109.35333
Tama Motor,Jl. Solo - Karanganyar Jetak Rt. 02/07,"Dagen, Kabupaten Karanganyar",-7.575278,110.888056
Ria Prembun,Jl.Raya Prembun 3/1,Kabupaten Kebumen,-7.722222,109.793889
Wahana Motor,Ds.Pekiringan Alit RT 06/IV,Kabupaten Aceh Selatan,-7.038611,109.562222
Bugangan Motor,Jl. Dieng No. 111,"KALIANGET, Kabupaten Wonosobo",-7.344167,109.906944
Sri Wibowo Motor,Desa kebarongan Rt. 02/09,"Kebarongan, Kabupaten Banyumas",-7.594722,109.288611
Harapan Kita Motor,JL. TENTARA PELAJAR,"Kebondalem, Kabupaten Kendal",-6.940833,110.213611
Karya Gemilang,"Jl. Purwantoro, Ponorogo","DS.Tegalrejo, Purwantoro, Kabupaten Karo",-7.847222,111.263333
Kendali Motor,Jl Raya Karang Rayung,"Kec Karangayung, Kabupaten Lamongan",-7.109167,110.780278
Cv. Surya Motor,"Jl. Sukowati, Dk Kauman","Gemolong, Kabupaten Sragen",-7.397778,110.830556
Toko Morodadi,JL. JEND. SUDIRMAN NO. 89,Kabupaten Semarang,-7.16452,110.41337
Sinar Mulia,DESA BRAMBANG RT 04 RW 01,Kabupaten Demak,-7.04528,110.58056
Kartono Motor,JL. RAYA BARAT LEBAKSIU RT 05/06,"Lebaksiu Kidul, Kabupaten Tegal",-7.046389,109.04612
Teknik Kita,JL. SOEKARNO HATTA NO. 33,Kabupaten Semarang,-7.18139,110.42444
Ums Motor 2,JL.ADI SUCIPTO NO 23 KEL. BLUBUKAN,Kabupaten Karanganyar,-7.54556,110.77556
Wk. Putra Motor,"JL.CELEP KIDUL RT.001/014,DS.DAGEN KEC.JATEN","Dagen, Kabupaten Karanganyar",-7.567528,110.896861
Cv Kurnia Motor,DUKUH PABRIK,"Dpn Pasar Karanggede, Kabupaten Boyolali",-7.36494,110.63861
Sarang Motor,Jl. AW. Sumarno No. 8 Purbalingga Lor Rt. 01/03,"Purbalingga Lor, Kabupaten Purbalingga",-7.741944,110.3625
Kersana Motor,"Slamet Riyadi 80,","Ds. Cigedog, Kec. Kersana, Kabupaten Brebes",-6.931389,108.859167
Raya Motor,Dsn. karangsari Rt. 07/02 Ds. Kawunganten Cilacap,"Banjarsari, Kabupaten Cilacap",-7.592222,108.918056
Piramida Baru Motor,"JL.KENTENG RT.02 RW.01,NGADIROJO KIDUL","Ngadirojokidul, Kabupaten Wonogiri",-7.814444,110.986944
Kharisma Motor,JL. SUNAN BONANG NO. 16 DUKUHWALUH,"Arcawinangun, Kabupaten Banyumas",-7.41167,109.26944
Indah Jaya Motor,Jl.Kedungmundu Raya No.84,"Tembalang, Kota Semarang",-7.018476,110.455673
Prima Motor,Jl. Sawunggalih No. 33 Kutoarjo,"SEMAWANG, Kabupaten Purworejo",-7.724167,109.910556
Horizon Motor Ii,JL. KH. A. Dahlan No. 40 Rt. 01 RW. 09,"Penyangkringan, Kabupaten Kendal",-6.973611,110.067222
Kurnia Agung Ii,DS KEBUMEN KEC.SUKOREJO,Kabupaten Kendal,-7.08472,110.03861
Bengkel Morodadi,JL. SUYUDONO NO. 182,Kota Semarang,-6.99028,110.40361
Restu Buana,JL.RAYA NO. 18 SUMPIUH RT. 02/01,Kabupaten Banyumas,-7.61333,109.36528
Menoreh Sakti Motor,Jl. Menoreh Raya No.7,"Kec.Gadjah Mungkur, Kota Semarang",-7.009167,110.394167
Cv Sanjaya Gemilang,JL. JENDERAL SUDIRMAN NO. 705,Kabupaten Banyumas,-7.42722,109.25139
Wahana Motor Ii,Jl. Bahurekso Kec.Kajen,Kabupaten Aceh Selatan,-7.021389,109.548611
Jaya Motor,JL. ADISUCIPTO 98,"Kec. Ngemplak, Kabupaten Boyolali",-7.51556,110.74528
Hasil Karya,Jl. Tugu Timur 26 RT 03/03 Sampang Cilacap,"Sampang, Kabupaten Cilacap",-7.561667,109.202222
Chandra Jaya Motor,Jl Letnan Suwaji 234,"Kec.Parakan, Kabupaten Kutai Timur",-7.28,110.102222
Anugerah Motor,Jl. Gatot Subroto No.10 Bulurejo,"Kec. Magelang, Kota Magelang",-7.495,110.211667
Cv Sahabat Sejati,JL. JATIMULYO NO. 12,"Kec. Banyumanik, Kota Semarang",-7.0555,110.4328
Kantong Motor Ii,KP.MAGERSARI RT.02 RW II KEL.GUNUNGPATI,"Mangunsari, Kota Semarang",-7.087013,110.362039
Jati Mas Motor,TRENGGULI,"Wonosalam, Kabupaten Demak",-6.87417,110.69833
Motor Gemilang Cahaya,JL. ANJASMORO RAYA NO.58-A KEL.KARANGAYU,"Semarang Barat, Kota Semarang",-6.97946,110.389744
Zahra,Jl. Kedung Mundu 29,"Kec. Banyumanik, Kota Semarang",-7.017079,110.454965
Taruna Motor Ii,Jl. Raya Timur Km.6,"Benersari, Kabupaten Sragen",-7.400278,111.061944
Cv Birawa Jaya,JL. KEDUNGMUNDU RAYA NO. 654,Kota Semarang,-7.02457,110.46735
Grias Motor,Jl.Raya Timur Jati Barang 77,"KRAMAT, Kabupaten Brebes",-6.968056,109.061944
Salaman Motor,Jl. Raya Salaman-Magelang,"Km.15, Kabupaten Magelang",-7.580278,110.141667
Manteb Motor,Jl. Raya Gulon 9,"Kec.Muntilan, Kabupaten Magelang",-7.593333,110.293889
Rajawali Motor,Jl. Raya Karangrejo No. 115,Kabupaten Aceh Selatan,-6.914444,110.608333
Dipo Jaya Sakti,Jl. Diponegoro No. 188,Kabupaten Aceh Selatan,-7.283455,110.461475
Nirwana Motor,Jl. Raya Timur 130 Weleri,Kabupaten Kendal,-6.971944,110.075556
Phantes,Jl. Raya Gabus-Tambakromo,"Desa Ganus Rt.04 Rw.06, Kabupaten Tanjung Jabung Barat",-6.831667,111.054444
Tumpang Sari Motor,Jln. Kol. Sugiri Bobotsari Purbalingga,"Bobotsari, Kabupaten Purbalingga",-7.310833,109.364722
Cv. Bintang Makmur Jaya Semarang,JL. SIMONGAN NO. 44,Kota Semarang,-6.99415,110.39841
Kondang Pratama Motor,"Jl. Raya Blabak, Mungkid","Magelang, Kabupaten Bengkulu Utara",-7.555,110.253333
Merdeka Motor,JL. RAYA KERTEK-WONOSOBO 86 JAMBURSARI,"Wonosobo Barat, Kabupaten Wonosobo",-7.38806,109.96222
Idola Motor,JL. NGADIREJO - PARAKAN PETIRREJO NGADIREJO,Kabupaten Temanggung,-7.39472,110.10306
Panca Putra,Jl. Pratomo No. 1 Komplek SPBU Winong,"Winong, Kabupaten Pati",-6.7329,111.009342
Shinta Motor,JL. ACHMAD YANI 587,"PURWOREJO, Kabupaten Banjarnegara",-7.4625,109.431944
Andalan Jaya Motor,Kyai Sirait Grabag,"Kec.Grabag, Kabupaten Yalimo",-7.552778,110.252778
Mitra Sejati,Jl. Argandaru No. 7 Bukateja,"BUKATEJA, Kabupaten Purbalingga",-7.432778,109.433056
Jawa Motor,JL RAYA KEBUMEN NO.45 LUNDONG,"Kutowinangun, Kabupaten Kebumen",-7.71944,109.74278
Lancar Manis,Raya Jeruk Legi,"(dpn pasar Jeruk Legi Wetan), Kabupaten Cilacap",-7.623333,109.019722
Koko Motor,A. Yani 99 Rt. 07 Rw. 03 Desa Bugel,"Bugel, Kabupaten Grobogan",-7.021111,110.763889
Adisena Motor,jl. Mawar No. 34 Bedodo Blimbing,"Blimbing, Kabupaten Sukoharjo",-7.591944,110.743611
Satria Motor,Gerilya 575,"Purwokerto, Kabupaten Banyumas",-7.440833,109.24
Cv Timbul Agung,DUSUN SAWAHAN,"Kudu, Kabupaten Sukoharjo",-7.61417,110.78222
Cv Ngudi Luhur,JL. KYAI MOJO NO. 43B,"PASAR KLIWON, Kabupaten Lamandau",-7.58667,110.83444
Tsumma Jaya,Raya Barat Margasari 9,"Kel Margasari Kec Margasari, Kabupaten Tegal",-7.093333,109.0175
Simongan Jaya,"Simongan Kav 26,195 A","Semarang Barat, Kota Semarang",-7.003056,110.393056
Jatayu Motor,DK Palur Rt. 03 Rw. 22 DS. Palur,"Palur, Kabupaten Sukoharjo",-7.566667,110.868333
Obe Motor,Tonjong Timur 3,"Kec. Tonjong, Kabupaten Brebes",-7.184167,109.021389
Sri Wibowo Ii,JL.LAUT 876 RT 02/08 ADIPALA,"Barat Terminal Adipala, Kabupaten Cilacap",-7.654586,109.117641
Ud Citra Family,JL. LETJEND. S. PARMAN NO.7 A PARAKANCANGGAH,"Pancarangah RT03/RW05, Kabupaten Banjarnegara",-7.39222,109.71278
Bintang Motor,Jl. Jend A. Yani 537 Rt. 14/4 Kroya,"KEDAWUNG, Kabupaten Cilacap",-7.631389,109.248889
Aswaja Motor,Jl. Raya mandiraja no. 131 A,"MANDIRAJA, Kabupaten Banjarnegara",-7.4525,109.519722
Cv. Abadi,JL.RAYA KUNDURAN NO.23A,"KUNDURAN, Kabupaten Blora",-7.05028,111.24444
Pandawa Motor,DS DAYEUHLUHUR RT 01/03 DAYEUHLUHUR CILACAP,Kabupaten Cilacap,-7.257053,108.608455
Kharisma Jaya,Jumapolo RT 02/01,"Ds. Jumapolo, Kec Jumapolo, Kabupaten Karanganyar",-7.704444,111.004444
Abimayu Motor,Raya Patimuan 01/06,"Nusawuluh Patimuan, Kabupaten Aceh Besar",-7.624722,108.752778
Sinar Mulya,Karangrejo 94-96,"Gajahmungkur, Kota Semarang",-7.029722,110.411944
Cv Karya Manunggal Mandiri,JL. RAYA PAMOTAN NO. 7,"Kec. Pamotan, Kabupaten Rembang",-6.76139,111.48944
Sumber Langgan,Raya Patikraja,"Samping Utara Pasar Patrikaja, Kabupaten Banyumas",-7.487778,109.2225
Indo Tama,Ds. Pekalongan Rt. 01 Rw. 05,"Kec. Winong, Kota Semarang",-6.812222,111.1025
Star Jaya,Ds. Cilongok Rt. 01/04 Cilongok Banyumas,"Cilonggok, Kabupaten Banyumas",-7.400833,109.130833
Kinoki Motorindo,"Dk. Margorejo, Ds. Puro","Karangmalang, Kabupaten Cirebon",-7.448611,111.023333
PT. Armada Tunas Jaya,JL. REVOLUSI NO. 44 KEBUMEN,"Karanganyar, Kabupaten Kebumen",-7.63056,109.56917
Cv Laretigo,JL. JENDERAL SUDIRMAN,"Kec.Larangan, Kabupaten Brebes",-6.94526,108.97944
Berkah Motor,JL. LETJEND S. PARMAN NO. 65,Kabupaten Purbalingga,-7.405,109.375
Indrajaya Motor,Jl Sokarno Hatta 173 Rt 3/04,"Karangkandri-Kesugihan, Kabupaten Cilacap",-7.664722,109.465
Marabunta,Jl. Kyai Muntang 31 Rt. 07/02 Wonosobo Timur,"Wonosobo Barat, Kabupaten Wonosobo",-7.367778,109.903611
Dora Motor,Raya Purwodadi-Purworejo,"Purwodadi, Kabupaten Aceh Tenggara",-7.796944,110.001111
Serayu Jaya Motor,Kaliori rt.02/05,"Rt 2 Rw 5 Kaliori, Kabupaten Banyumas",-7.5075,109.296111
Sentral Motor,KALIBENING RT. 02/03 KALIBENING BANJARNEGARA,Kabupaten Banjarnegara,-7.22111,109.63917
Gloria Motor Ii,Raya Petarukan 111,"Ds Kepangsari, Kec Petarukan, Kabupaten Pemalang",-6.895,109.455556
Ss Motor,Raya Blado,"Kel Blado RT06/03, Kec. Blado, Kabupaten Aceh Besar",-7.068333,109.833611
Wali Motor,JL. NURCAHYA NO. 63 RT. 05 RW. 08,Kabupaten Demak,-6.88639,110.63861
Rantau Indah Motor,DESA BOLOAGUNG RT.01/01,"Boloagung, Kabupaten Pati",-6.86111,111.00194
Cv Kalioso Motor,JL. SOLO - PURWODADI KM 12 SAMBIREJO,"Kel. Sambirejo 03/08 Ds. Tuban, Kabupaten Karanganyar",-7.46083,110.805
Surat Motor 2,"Dsn. Bicak, Ds. Barangkal, Kec.Wedi","Klaten, Kabupaten Lampung Selatan",-7.778611,110.625
Motor Cahaya Utama,"Untung Suropati 101, Kav 17","Kec Ngaliyan, Kabupaten Brebes",-7.011667,110.377778
Toko Surya,Raya 11 Kel Jepon,"Jepon, Kabupaten Blora",-6.974722,111.480833
Muria Motor,"Raya Jekulo 210, RT01/09","Kec Jekulo, Kabupaten Kudus",-6.806111,110.919444
Randu Garut Motor,JL.RANDU GARUT No. 5 RT5/RWVIII,"TUGU kEC. TUGU, Kota Semarang",-6.975556,110.319167
Bringin Motor,"Diponegoro 150,Rt 07/01","Bringin, Kabupaten Semarang",-7.253611,110.516944
Andong Motor,Jl. Raya Kecangan Andong,Kabupaten Aceh Selatan,-7.374167,110.761944
Kompo Motor,Desa Sumampir Rt. 05/02,"Sumampir, Kabupaten Purbalingga",-7.303056,109.517222
Akmal Jaya Motor,Jl. P. Diponegoro No. 87 Rt. 01 Rw. 04 Purwodadi,"Danyang, Kabupaten Grobogan",-7.107222,110.911944
Bagus Motor 2,Desa Subah Rt 03/Rw 04,"Subah, Kabupaten Batang",-6.970833,109.873611
Karya Mandiri,"Ngulu Wetan, Rt 01/03","Kec. Pracimantoro, Kabupaten Karo",-8.053889,110.809167
Cv. Bina Putra,JL. KUDUS-PURWODADI KM 7,"RT 04/04, Ds. Undaan, Kabupaten Kudus",-6.86972,110.82194
PT. Putragung Berkat Indah,Jl.Rongolawe 49,"Wulung, Kabupaten Sumedang",-7.193056,111.395
Tangguh Motor,Jl. Mayjend Sungkono km. 5,"Kalimanah, Kabupaten Purbalingga",-7.431667,109.334444
Agung Utomo Motor,Jl.Pemandian Pengging Ds.Dukuh,"RT.01 RW.10,Kec.Banyudono, Kabupaten Boyolali",-7.552222,110.674722
Kusuma Motor,Jl. Honggokusuman No. 52,"Grobogan, Kabupaten Grobogan",-7.123889,111.126389
Setiawan Motor,Ds. Tunjung Rt. 02/02 Jatilawang Banyumas,"Tunjung (Tanjung), Kabupaten Banyumas",-7.533333,109.114444
Wali Motor 4,JL.WOLTER MONGINSIDI NO.59 RT 2 RW 2,"Genuksari, Kota Semarang",-6.958533,110.479352
Cv Panca Putra,JL.RAYA PATI-TAYU KM.8 DS. WEDARIJAKSA RT.06 RW.II,"Wedarijaksa, Kabupaten Pati",-6.67833,111.07222
Mandiri Jaya Abadi,Ds. Tayu Wetan RT.07/RW.01,"Tayu, Pati, Kabupaten Brebes",-6.539444,111.049167
Cv. Saudara Dua,"JL. LINGKAR MONDOTEKO, KEL.MONDOTEKO, KEC.REMBANG","Mondoteko, Kabupaten Rembang",-6.73194,111.345
Ganesha Putra Motor,Jl. Raya Gandrungmangu,"ds. Gandrunngmanis RT 03/03, Kabupaten Cilacap",-7.493056,108.820833
Cv Laretigo,JL. RAYA LARANGAN,Kabupaten Brebes,-7.00556,108.94694
Cv Bpk,JL. LETJEND SUTOYO NO 8 RT 005,"RW 024, Kota Surakarta",-7.55111,110.82982
Hardi Bagus Motor,"Jl. Samanhudi , SD Trayeman","RT 04/04, Kabupaten Tegal",-6.963333,109.133611
Agista Motor,Jl. Sawah Gede RT 02 RW 03,"Desa Bentar, Kabupaten Tanjung Jabung Barat",-7.159722,108.806667
Cv. Pramudhita Manggala Stone,"Jl Margoyoso Pati,",Kabupaten Aceh Selatan,-6.610278,111.065
Blok M,Jl Jepara-Bangsri KM 09 Desa Jambu,Kabupaten Aceh Selatan,-6.529167,110.700833
Daya Motor,JL. RAYA TEMANGGUNG NO. 163,Kabupaten Bantul,-7.39139,110.24639
Gloria Motor,JL. JEND. SUDIRMAN NO. 15 RT. 01 RW. 04,"Mulyoharjo, Kabupaten Pemalang",-6.890833,109.391944
PT. Armada Tunasjaya,JL. PROF. DR. HR. BUNYAMIN RT. 01/04 PABUARAN,"Pabuaran, Kabupaten Kebumen",-7.83889,110.39139
Elang Sakti Motor,JL. MAGELANG - YOGYAKARTA KM.7 RANDUGUNTING,"Blondo, Kabupaten Magelang",-7.542222,110.236667
Agung Kusuma,KELURAHAN SRAGI KEC.SRAGI KAB.PEKALONGAN,"Sragi, Kabupaten Pekalongan",-6.933333,109.564167
Sumber Purnama Sakti,JL. RAYA SUDAGARAN RT 003/001,"Sudagaran, Kabupaten Banyumas",-7.51739,109.294056
Galuh Motor,RUKO PRAKASA INDAH RT 005 RW 002,"Bonyokan, Kabupaten Klaten",-7.6325,110.6025
Shinta Abadi Motor,JL RAYA PURWONEGORO RT 03/04,"Kalipelus, Kabupaten Banjarnegara",-7.4397,109.551174
Adi Motor,JL. PEMUDA 89,"Langenharjo, Kabupaten Kendal",-6.921809,110.196908
Cv Kembangan Sakti,JL. RATU KALINYAMAT KRAPYAK RT 01/02,"Krapyak, Kabupaten Jepara",-6.61412,110.66475
Cv Anugerah Jaya Motor,JL. GATOT SUBROTO NO. 231,"Gunungsimping, Kabupaten Cilacap",-7.70371,109.02307
Bintang Motor Ii,JL. MERDEKA 216 RT 02/01,"Binangun, Kabupaten Cilacap",-7.668586,109.266521
Grida Motor,JL. FATMAWATI NO.85 RT.2/3,"Gemah, Kota Semarang",-7.016678,110.471851
Wahana Mulya Santosa,JL. RAYA AJIBARANG NO. 33 RT 01/07,"Ajibarang wetan, Kabupaten Banyumas",-7.405213,109.085431
Adiaz Motor,"JL. RAYA MAGELANG - PURWEREJO KM 10,6","Sidoagung, Kabupaten Magelang",-7.546518,110.163632
Mitra Rasa,"JL. LETTU SUGIARNO KM 1,9","Gunungpring, Kabupaten Magelang",-7.59201,110.270634
Wali Motor 2,JL. GANESHA 721 RT 4 RW 6,"Purwosari, Kabupaten Kudus",-6.812519,110.82597
Mandiri Motor,JL JENDRAL SUDIRMAN 130 RT 02/04,"Bantarsoka, Kabupaten Banyumas",-7.423551,109.218669
Mitra Utama,JL. PALA 19 NO 15 RT 01/12,"Mejasem Barat, Kabupaten Tegal",-6.873428,109.15368
Koko Motor 2,RT 04 RW 03,"Kebonagung, Kabupaten Demak",-7.022591,110.692274
H S O Cabang Semarang,JL. RAYA KARANGLO NO.8,"Jatibarang Lor, Kabupaten Brebes",-7.022591,110.692274
Winarto Motor,SAMPANGAN JL.SALAK NO.89,"Sampangan, Kota Pekalongan",-6.885789,109.675206
Jaya Abadi Motor,JL. RAYA SURADADI RT 03 RW 01,"Suradadi, Kabupaten Tegal",-6.874041,109.269764
Mendolo Motor,JL. MAYJEND BAMBANG SUGENG MENDOLO RT 001/001,"Bumireso, Kabupaten Wonosobo",-7.36799,109.924285
Mega Berlian,"PANTIREJO RT.02,KEL.GABUGAN,KEC.TANON","Gabugan, Kabupaten Sragen",-7.397579,110.828765
Karunia Motor 2,JL.AMPERA 63 RT.01/02 SUDAGARAN,"Sudagaran, Kabupaten Cilacap",-7.29103,108.48339
By Pass Motor 5,SUROBAYAN RT 002/001 KEL.GEDAREN KEC.JATINOM,"Gedaren, Kabupaten Klaten",-7.62801,110.594496
Ud Dian Motor,"JL.PEMUDA NO.278 PATI KEL.KALIDORO,PATI","Kalidoro, Kabupaten Pati",-6.753946,111.048608
Persada Motor,"JL.RAYA KESESI - KAJEN, DS.KESESI","Kesesi, Kabupaten Pekalongan",-7.014606,109.503564
Aw Motor,JL. STADION SELATAN NO.202 KEL. KARANG KIDUL,"Karangkidul, Kota Semarang",-6.990478,110.43133
Rahardjo Motor,JL. ADI SUMARMO 235 RT.002/002 KEL. BANYUANYAR,"Banyuanyar, Kota Surakarta",-7.538679,110.804459
Anugrah Mulia,"SIRAJUDIN NO.11 KEL.TEMBALANG, KEC.TEMBALANG","Tembalang, Kota Semarang",-7.056469,110.435648
Sukses Jaya,Jl. Jend. A. Yani 47 RT.03/01 Tambakreja,"Tambakreja, Kabupaten Cilacap",-7.73369,109.007173
Handayani Motor 2,JL.KOLONEL HADIYANTO NO.2,"Gunung Pati, Kabupaten Semarang",-7.044561,110.390778
Cv Anugerah Motor,JL KIMANGUN SARKORO,"Gamer, Kota Pekalongan",-6.889807,109.698613
Wahyu Buana,JL SONGGOLANGIT-GENTAN RT.06 RW.13,"Gentan, Kabupaten Sukoharjo",-7.584883,110.784646
Cv Anugerah Utama,JL.JEND SUDIRMAN 140,"Purbalingga Kidul, Kabupaten Purbalingga",-7.390071,109.363404
Cv Anugerahutama,JL RAYA WALIK KM.5 KUTASARI,"Purbalingga Kidul, Kabupaten Purbalingga",-7.357335,109.329418
Cv Cipta Jaya Pratama Pati,"JL RAYA PATI TAYU KM.2, KEL.TAMBAHARJO, KEC.PATI","Tambaharjo, Kabupaten Pati",-6.72094,111.053467
Kanggotan Motor,Jl. Kanggotan 18,Kota Surakarta,-7.565278,110.835278
Inti Motor,Jl. A. Yani 31,"Potrobangsan, Kota Magelang",-7.471111,110.2175
Cv. 54 Motor,JL.HAYAM WURUK 90,Kota Pekalongan,-6.893611,109.666944
Ud. Agung Motor,Jl.Pemuda 54,"Caile, Kabupaten Blora",-7.141111,111.593611
Cv Jaya Abadi,Jl. Karangsaru 21,Kota Semarang,-6.980516,110.430996
Karya Tunggal Motor,Jl. Kabupaten No. 49,Kabupaten Ponorogo,-7.814722,110.924444
Judha Motor,JL. MAYJEND SUTOYO NO. 49,"SINDURJAN, Kabupaten Purworejo",-7.71972,110.00056
Sukses Motor,Jl. P. Diponegoro 32,"Temanggung I, Kabupaten Temanggung",-7.291944,110.164167
Servis Honda Bima,Jl. Merbabu No.36,Kabupaten Klaten,-7.707778,110.595833
Kranggan Aji Motor,JL. RAYA BATANG - KENDAL,"Langenharjo, Kabupaten Kendal",-6.92111,110.18861
Horizon Motor,Jl. Raya Utara No. 238,"Genuk, Kabupaten Kendal",-6.971944,110.066944
Agung Motor,Jl. Veteran No. 3,"Jobokuto, Kabupaten Jepara",-6.58953,110.664722
Erisa Motor,Jl.Panjaitan 31,Kabupaten Banjarnegara,-7.398056,109.691944
Taruna Adhi Motor,Jl. Moh Yamin No. 16,Kota Surakarta,-7.5775,110.820556
Taruna Motor,Jl.Jawa No.1,Kabupaten Sragen,-7.425,111.029444
Toko Mekar Kurnia Kompo,JL. JEND SUDIRMAN NO. 19 PURBALINGGA KULON,"Purbalingga Kulon, Kabupaten Purbalingga",-7.38861,109.35611
Toko Aneka Motor,JL. RAYA JUWANA - REMBANG KM 1,"Hambala, Kabupaten Pati",-6.71861,111.15222
Cv Indah Motor,JL. P DIPONEGORO NO.177 KUTOARJO,"Purwosari, Kabupaten Purworejo",-7.72306,109.9075
Setiawan Motor,Jl. Raya Utara Wangon 104 Rt. 01/03 Wangon,"Wangon, Kabupaten Banyumas",-7.517778,109.060556
Taruna Motor,"JL.YOS SUDARSO NO.185,RT 003 RW 006","Jayengan, Kota Surakarta",-7.578056,110.821667
Hosana Motor,Jl. MT. Haryono 52,"TEMANGGUNG II, Kabupaten Temanggung",-7.316111,110.173611
Taruna Jaya Motor,Jl. Lawu Timur 161 - Karanganyar,Kabupaten Karanganyar,-7.59992,110.961389
